2021-05-05 15:56:112021-05-05 15:59:132021-05-05 15:59:542021-05-05 16:00:20
2021-05-05 16:00:44
2021-05-05 16:28:53
2021-05-05 16:29:32
2021-05-05 16:35:11
;2;0
2021-05-05 18:41:18;2;0
2021-05-07 18:53:21;1;0
2021-05-07 18:59:07;1;0
2021-05-07 18:59:19;1;0
2021-05-07 19:09:32;3;0
2021-05-07 19:12:24;2;0;e
2021-05-07 19:13:01;4;1;e,o
2021-05-07 19:24:51;2;0;e,o
2021-05-07 19:25:58;7;5;e
2021-05-07 19:27:24;4;3;e
2021-05-07 19:29:06;3;1;dict_values(['e', 'o'])
2021-05-07 19:30:56;6;2;eo
2021-05-07 19:31:42;3;0;e,o
2021-05-07 19:32:01;1;1;e,o
